post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:aws_url_field,meta:cdn_featured_image,meta:cdn_gallery_urls,meta:cdn_gallery_urls_0_cdn_gallery_link,meta:cdn_gallery_urls_1_cdn_gallery_link,meta:cdn_gallery_urls_2_cdn_gallery_link,meta:cdn_gallery_urls_3_cdn_gallery_link,meta:cdn_gallery_urls_4_cdn_gallery_link,meta:cdn_gallery_urls_5_cdn_gallery_link,meta:cdn_gallery_urls_6_cdn_gallery_link,meta:cdn_gallery_urls_7_cdn_gallery_link,meta:cdn_gallery_urls_8_cdn_gallery_link,meta:cdn_gallery_urls_9_cdn_gallery_link,meta:custom_editor_box,meta:cwg_total_subscribers,meta:fin_sku_field,meta:msrp_field,meta:product_banner,meta:product_style,meta:show_specific_messsage,meta:total_sales,meta:upc_field,meta:wcbvp_variations_data,meta:wcbvp_variations_data_enable,meta:wcbvp_variations_data_override,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:pa_bratype,attribute_data:pa_bratype,attribute_default:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute_default:pa_closure,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,attribute_default:pa_countryoforigin,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute_default:pa_innerpackqty,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute_default:pa_neckdesign,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute_default:pa_sleevestyle
"Hanes Originals Mens French Terry Sweatshirt - 2XL, Blue Jay Heather",hanes-originals-mens-french-terry-sweatshirt-blue-jay-heather-2xl,1107143,1107163,"Size: 2XL, Color: Blue Jay Heather",,publish,,0,"2024-01-16 23:12:37",1,closed,#438925,5085,,,no,no,0,10.7900,,1.016,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Blue_Jay_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Blue_Jay_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-2XL-Blue Jay Heather._ADD",0,,4F29,,0,00196062117234,,,,,"Blue Jay Heather",2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - M, Sandalwood Red Heather",hanes-originals-mens-french-terry-sweatshirt-sandalwood-red-heather-m,1107143,1107164,"Size: M, Color: Sandalwood Red Heather",,publish,,0,"2024-01-16 23:12:37",1,closed,#438926,5085,,,no,no,0,10.7900,,0.795,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Sandalwood_Red_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Sandalwood_Red_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-M-Sandalwood Red Heather._ADD",0,,4F29,,0,00196062117302,,,,,"Sandalwood Red Heather",M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - XL, Sandalwood Red Heather",hanes-originals-mens-french-terry-sweatshirt-sandalwood-red-heather-xl,1107143,1107165,"Size: XL, Color: Sandalwood Red Heather",,publish,,0,"2024-01-16 23:12:37",1,closed,#438927,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Sandalwood_Red_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Sandalwood_Red_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-XL-Sandalwood Red Heather._ADD",0,,4F29,,0,00196062117326,,,,,"Sandalwood Red Heather",XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - 2XL, Black Heather",hanes-originals-mens-french-terry-sweatshirt-black-heather-2xl,1107143,1107166,"Size: 2XL, Color: Black Heather",,publish,,0,"2024-01-16 23:12:38",1,closed,#439008,5085,,,no,no,0,10.7900,,1.016,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Black_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Black_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-2XL-Black Heather._ADD",0,,4F29,,0,00194959719974,,,,,"Black Heather",2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - M, Navy Heather",hanes-originals-mens-french-terry-sweatshirt-navy-heather-m,1107143,1107167,"Size: M, Color: Navy Heather",,publish,,0,"2024-01-16 23:12:40",1,closed,#439009,5085,,,no,no,0,10.7900,,0.795,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Navy_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Navy_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-M-Navy Heather._ADD",0,,4F29,,0,00194959720192,,,,,"Navy Heather",M,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, White",hanes-originals-mens-french-terry-sweatshirt-white-s,1107143,1107168,"Size: S, Color: White",,publish,,0,"2024-01-16 23:12:40",1,closed,#439010,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_White_sw.jpg ! alt :  ! title : Hanes_4F29_White_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,4F29-S-White._ADD,0,,4F29,,0,00194959720239,,,,,White,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - L, White",hanes-originals-mens-french-terry-sweatshirt-white-l,1107143,1107169,"Size: L, Color: White",,publish,,0,"2024-01-16 23:12:40",1,closed,#439011,5085,,,no,no,0,10.7900,,0.873,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_White_sw.jpg ! alt :  ! title : Hanes_4F29_White_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,4F29-L-White._ADD,0,,4F29,,0,00194959720253,,,,,White,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, Charcoal Heather",hanes-originals-mens-french-terry-sweatshirt-charcoal-heather-s,1107143,1107170,"Size: S, Color: Charcoal Heather",,publish,,0,"2024-01-16 23:12:41",1,closed,#439037,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2021/10/coming-soon-img-829.jpg ! alt :  ! title : coming-soon-img.jpg ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-S-Charcoal Heather._ADD",0,,4F29,,0,00196062117241,,,,,"Charcoal Heather",S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - L, Navy Heather",hanes-originals-mens-french-terry-sweatshirt-navy-heather-l,1107143,1107171,"Size: L, Color: Navy Heather",,publish,,0,"2024-01-16 23:12:41",1,closed,#439076,5085,,,no,no,0,10.7900,,0.873,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Navy_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Navy_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-L-Navy Heather._ADD",0,,4F29,,0,00194959720208,,,,,"Navy Heather",L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - S, Sandalwood Red Heather",hanes-originals-mens-french-terry-sweatshirt-sandalwood-red-heather-s,1107143,1107172,"Size: S, Color: Sandalwood Red Heather",,publish,,0,"2024-01-16 23:12:41",1,closed,#439096,5085,,,no,no,0,10.7900,,0.708,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Sandalwood_Red_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Sandalwood_Red_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-S-Sandalwood Red Heather._ADD",0,,4F29,,0,00196062117296,,,,,"Sandalwood Red Heather",S,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - L, Camouflage Green Heather",hanes-originals-mens-french-terry-sweatshirt-camouflage-green-heather-l,1107143,1107173,"Size: L, Color: Camouflage Green Heather",,publish,,0,"2024-01-16 23:12:41",1,closed,#439121,5085,,,no,no,0,10.7900,,0.873,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Camouflage_Green_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Camouflage_Green_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-L-Camouflage Green Heather._ADD",0,,4F29,,0,00194959720055,,,,,"Camouflage Green Heather",L,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - XL, Camouflage Green Heather",hanes-originals-mens-french-terry-sweatshirt-camouflage-green-heather-xl,1107143,1107174,"Size: XL, Color: Camouflage Green Heather",,publish,,0,"2024-01-16 23:12:42",1,closed,#439122,5085,,,no,no,0,10.7900,,0.946,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Camouflage_Green_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Camouflage_Green_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-XL-Camouflage Green Heather._ADD",0,,4F29,,0,00194959720062,,,,,"Camouflage Green Heather",XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanes Originals Mens French Terry Sweatshirt - M, Concrete Heather",hanes-originals-mens-french-terry-sweatshirt-concrete-heather-m,1107143,1107175,"Size: M, Color: Concrete Heather",,publish,,0,"2024-01-16 23:12:42",1,closed,#439179,5085,,,no,no,0,10.7900,,0.795,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://appareldirectdistributor.com/wp-content/uploads/2024/01/Hanes_4F29_Concrete_Heather_sw.jpg ! alt :  ! title : Hanes_4F29_Concrete_Heather_sw ! desc :  ! caption : ",,https://appareldirectdistributor.com/product/hanes-originals-mens-french-terry-sweatshirt/,,,,,,,,,,,,,,,,,outofstock,,,,,,,,,,,,,,,,,,,"4F29-M-Concrete Heather._ADD",0,,4F29,,0,00194959720093,,,,,"Concrete Heather",M,,,,,,,,,,,,,,,,,,,,,,,,,,,
